	HypoPNAF1CNT1	HypoPNAF1CNT3	HypoPNAF1CNT4	HypoPNAF1DHT2	HypoPNAF1DHT4
Gin1	0	0	0	1	2
Pam	1	0	0	2	4
B230216N24Rik	0	0	0	0	0
Cdh20	1	0	0	0	0
Rnf152	0	0	0	1	0
Gm3608	0	1	0	0	2
Pign	0	0	0	1	0
Gm20302	0	0	0	0	0
2310035C23Rik	1	0	1	0	1
Gm37566	0	0	0	0	0
Zcchc2	0	0	0	0	0
Phlpp1	0	0	2	1	1
Bcl2	1	0	0	0	1
Kdsr	0	1	2	3	1
Vps4b	2	0	2	0	3
Gm8141	0	0	0	0	1
Dsel	0	1	0	0	1
Gm6028	0	0	0	0	1
Cnt0p5a	2	1	0	1	0
Tsn	4	4	4	10	12
Nifk	2	1	1	1	2
Clasp1	0	0	1	0	2
Inhbb	0	0	2	6	4
Ralb	0	0	0	0	2
Tmem185b	0	1	0	1	2
Epb41l5	0	0	0	0	1
Ptpn4	0	0	0	1	0
Tmem177	0	0	0	0	0
Dbi	26	33	21	34	58
3110009E18Rik	0	2	0	0	0
Steap3	0	1	1	0	1
C1ql2	2	0	0	0	0
Insig2	2	1	0	0	4
Ccdc93	0	0	0	1	2
Ddx18	0	1	1	0	1
Dpp10	1	0	0	0	0
Actr3	1	0	4	2	4
Slc35f5	2	0	0	0	1
Lypd1	0	0	1	1	0
Nckap5	0	1	0	1	1
Mgat5	0	1	0	2	2
Gm8451	0	0	1	0	1
Tmem163	0	0	0	0	2
Ccnt2	0	1	0	1	5
Rab3gap1	2	2	1	2	5
Zranb3	0	1	0	1	0
Rpl28-ps1	2	2	3	5	0
R3hdm1	3	3	2	1	8
Ubxn4	0	0	1	5	7
Mcm6	0	0	1	1	3
Dars	0	1	0	3	3
Cxcr4	0	0	0	0	0
Cd55	0	1	0	1	1
Pfkfb2	1	0	0	0	0
Pigr	1	0	3	0	0
Fcmr	0	2	0	0	2
Mapkapk2	1	2	1	1	2
Eif2d	0	1	2	0	0
Rassf5	0	0	1	0	1
Ikbke	0	0	0	0	1
Srgap2	2	0	0	3	2
Rab7b	0	0	1	0	3
Slc41a1	2	1	2	0	2
Rab29	0	0	1	1	1
Nucks1	1	2	1	2	4
Slc45a3	0	1	0	0	4
Elk4	1	1	0	2	3
Mfsd4a	2	1	0	2	3
Cdk18	0	0	2	0	2
Klhdc8a	2	0	1	0	0
Tmcc2	1	1	0	2	0
Dstyk	0	0	0	2	1
Rbbp5	2	0	0	0	0
Cntn2	0	4	2	2	2
Nfasc	1	1	0	0	1
Lrrn2	0	3	0	0	2
Mdm4	0	0	0	5	4
Gm29257	0	0	0	1	0
Pik3c2b	1	0	1	0	0
Ppp1r15b	0	1	0	2	0
Plekha6	0	0	0	0	1
Gm19461	0	0	0	0	1
Etnk2	1	0	0	1	1
Sox13	0	0	0	1	1
Snrpe	1	0	1	12	6
Atp2b4	0	1	0	0	1
Optc	0	0	0	0	0
Gm15851	0	0	0	1	1
Prelp	0	2	0	3	1
Btg2	1	0	0	0	2
Chil1	0	0	1	0	1
Adora1	2	1	0	2	3
Ppfia4	1	0	1	4	1
Tmem183a	2	0	0	0	1
Cyb5r1	0	0	1	1	5
Adipor1	1	0	0	2	4
Klhl12	1	0	1	1	4
Rabif	2	1	1	4	3
Kdm5b	1	0	0	1	2
Ppp1r12b	0	3	1	2	2
Ube2t	0	0	0	0	0
Arl8a	1	3	1	1	2
Gpr37l1	5	1	3	0	4
Rnpep	0	0	0	0	1
Timm17a	4	9	3	8	11
Lmod1	0	0	0	0	0
Shisa4	2	1	1	1	1
Ipo9	6	0	2	4	1
0v1	3	0	0	2	1
Csrp1	3	7	2	7	2
Phlda3	0	1	0	0	0
Tnnt2	0	1	0	0	0
Tmem9	9	6	4	4	7
