	OvaryNF1	OvaryNF2	OvaryNF3	OvaryNF4	OvaryB1	OvaryB3	OvaryB4
Gm7075	0	1	1	0	0	1	2
Ctn03	1	3	3	1	5	4	3
Gm10118	0	1	1	0	1	1	0
Lrrtm3	7	18	31	9	6	13	18
Gm4796	4	7	3	7	10	8	13
Gm47894	1	0	0	0	1	0	0
Gm47895	0	0	0	1	2	0	1
Gm47903	0	0	0	0	0	0	1
1110002J07Rik	0	3	0	0	1	1	0
Gm26576	0	1	0	1	1	0	0
Gm31763	2	2	4	1	5	3	5
Reep3	141	244	244	204	344	320	196
Jmjd1c	90	132	131	142	180	167	114
Nrbf2	22	37	52	22	52	34	25
AC155712.1	0	0	1	0	0	0	0
Egr2	6	4	5	5	4	6	9
Ado	33	64	50	50	62	59	39
Gm32364	1	0	0	0	0	0	0
Zfp365	1	2	4	0	2	0	0
Rtkn2	0	1	1	1	2	4	3
Arid5b	54	72	78	68	101	103	81
Gm47078	0	0	0	1	1	0	0
Cabcoco1	1	3	2	2	5	3	5
Tmem26	0	7	3	5	6	1	3
Gm33035	0	0	0	0	0	1	0
Rhobtb1	72	138	99	59	135	114	128
A930033H14Rik	13	24	29	12	22	20	23
Cdk1	55	124	116	93	190	167	113
Ank3	54	93	108	94	120	106	99
Gm46231	1	2	1	2	0	1	3
Ccdc6	66	86	106	135	143	133	104
Mrln	1	5	1	0	7	3	3
Slc16a9	20	37	40	26	29	46	35
Gm7097	0	0	0	2	0	0	1
Gm9877	2	0	6	0	5	4	4
Gm20108	0	0	0	1	0	0	0
Fam13c	6	19	13	22	39	29	14
Gm29783	0	4	1	2	6	5	3
Phyhipl	0	0	1	0	1	0	0
4930533K18Rik	0	1	0	1	0	1	0
Gm24486	0	1	0	0	1	0	0
Bicc1	82	162	104	111	148	140	94
Gm48025	0	3	2	1	2	0	3
Tfam	50	105	103	93	134	102	74
Ube2d1	30	58	56	39	65	49	44
Gm34376	0	0	0	0	0	0	0
Rpl19-ps2	2	2	3	3	4	4	5
Cisd1	76	157	156	130	281	197	148
Ipmk	14	27	16	24	31	31	27
Gm4798	0	0	1	0	0	0	0
Gm9923	3	5	13	9	11	12	4
Zwint	152	228	239	217	329	238	228
Pcdh15	1	0	4	7	4	5	3
Gm5778	3	10	8	1	9	9	11
Gm6407	1	0	0	0	1	0	0
Gm6419	0	3	0	1	0	1	0
Rsph14	1	0	1	0	0	0	0
G0z	5	4	7	7	19	20	7
Rab36	24	21	29	18	23	19	19
Bcr	54	66	59	60	98	65	68
Specc1l	65	95	98	100	138	104	95
Gm46234	0	0	0	0	1	0	0
Adora2a	0	2	1	1	3	1	1
Gm5779	1	0	1	2	1	1	1
Gucd1	21	45	54	29	56	32	42
Upb1	1	1	0	1	0	1	1
Gm48158	0	0	0	1	0	1	0
Snrpd3	386	614	734	579	840	701	551
Lrrc75b	0	0	2	3	0	0	2
Ggt1	0	2	1	0	1	2	1
Ggt5	63	77	97	61	112	89	85
Gm19688	1	1	1	0	3	2	2
Susd2	5	6	7	4	12	12	12
Cabin1	41	63	69	43	83	68	67
Gm19326	1	0	0	2	2	0	3
Ddt	59	129	162	90	162	110	124
Gstt3	11	19	21	11	27	23	16
Gstt1	76	118	138	61	206	151	100
Gstt4	0	0	1	0	0	1	0
Gstt2	62	90	80	68	109	94	70
Mif	527	764	858	619	955	901	904
Derl3	73	97	89	80	162	92	118
Smarcb1	142	262	238	231	305	248	241
Mmp11	180	322	324	278	315	276	257
Chchd10	512	848	882	747	1306	918	528
Gm867	4	4	7	5	3	1	4
Vpreb3	8	18	18	8	23	16	16
Gm16221	0	0	0	1	0	1	1
Gm5134	1	0	1	6	4	3	2
Zfp280b	18	42	52	50	63	46	40
Slc5a4b	4	24	23	30	12	14	4
Gm16222	0	1	0	1	0	2	0
Gm19217	1	2	3	3	9	10	1
Slc5a4a	7	7	3	11	12	19	3
Prmt2	81	113	92	110	171	91	104
S100b	20	43	36	45	12	19	24
Dip2a	31	49	58	69	71	61	52
Gm16240	0	0	0	0	0	0	0
Pcnt	64	100	121	76	123	85	81
1700094J05Rik	0	1	1	0	4	0	0
2610028H24Rik	0	0	1	0	0	1	1
Ybey	9	23	13	14	25	20	18
Mcm3ap	50	62	77	64	93	73	59
Lss	34	61	63	70	284	174	83
4930483K19Rik	0	0	0	0	1	1	1
Spatc1l	0	0	0	0	0	0	0
Col6a2	127	206	206	146	231	216	194
Col6a1	246	390	443	349	420	358	321
Pcbp3	9	19	19	15	15	19	15
Slc19a1	20	46	44	36	51	45	50
Col18a1	71	98	138	73	139	97	101
Gm10941	6	10	7	7	4	4	4
Pofut2	117	207	243	170	252	193	203
Adarb1	21	66	52	45	42	36	69
Fam207a	47	58	64	57	56	80	76
2810425M01Rik	0	0	1	0	2	0	1
Itgb2	20	11	21	12	19	17	17
Pttg1ip	136	221	206	161	248	220	213
Sumo3	103	180	199	159	240	204	155
Ube2g2	53	56	88	89	96	103	87
Gm18119	1	3	1	6	6	5	5
Tspear	0	0	3	0	1	1	1
Lrrc3	1	5	2	0	6	3	3
Trpm2	2	6	10	3	4	5	2
1810043G02Rik	39	71	60	46	85	43	48
Pfkl	107	170	164	105	196	155	155
Aire	0	0	0	2	1	2	0
Dnmt3l	5	5	4	5	4	11	4
Icosl	25	37	57	34	57	34	30
Gm47922	0	2	0	0	0	2	2
D10Jhu81e	156	248	265	179	323	240	215
Pwp2	13	32	31	23	57	38	31
Trappc10	33	43	46	29	51	45	34
Gm30122	1	4	3	1	0	2	2
Gm47976	1	4	12	3	4	3	0
Agpat3	117	171	176	138	219	207	188
Gm47992	0	1	0	0	0	1	0
n-R5s77	0	0	0	0	0	0	0
Gm10146	62	103	115	80	112	136	125
Rrp1	184	339	333	248	383	326	272
Cstb	256	431	424	315	484	413	321
4921516A02Rik	2	2	5	6	8	3	2
Pdxk	39	54	67	39	78	65	67
Gm5951	2	0	0	0	0	0	1
Ilvbl	65	98	125	90	195	136	106
Syde1	28	37	48	28	60	41	34
Gm30346	0	0	1	0	0	0	0
Ccdc105	1	5	2	2	4	4	2
Gm30400	2	2	3	1	2	4	2
Slc1a6	7	6	5	2	10	7	7
2610008E11Rik	64	123	113	82	138	92	80
Gm47015	2	2	3	3	46	46	37
Plpp2	36	47	32	31	65	55	50
Mier2	25	36	48	30	49	41	34
C2cd4c	1	0	0	0	1	0	0
Shc2	6	10	15	7	13	9	13
Gm47163	3	0	0	0	2	0	2
Madcam1	1	1	1	0	1	0	0
Tpgs1	54	132	110	79	141	115	80
Cdc34	33	58	77	59	98	89	70
Gzmm	2	3	2	0	7	2	3
Gm25794	0	0	0	0	2	0	0
Bsg	571	948	1121	766	1282	976	900
Hcn2	0	0	0	0	0	0	2
Polrmt	20	39	45	35	54	46	38
Fgf22	0	1	3	1	1	1	1
Rnf126	11	15	28	19	33	20	25
Fstl3	3	9	19	8	18	16	11
Prss57	0	0	0	0	0	0	0
Palm	28	50	48	44	70	57	42
Gm48495	0	0	0	0	0	0	0
Misp	1	1	0	2	1	2	0
E130317F20Rik	9	8	9	13	18	6	10
Ptbp1	139	258	310	227	352	292	324
Plppr3	17	17	25	24	15	21	18
Gm17134	0	0	0	0	0	0	1
Prtn3	1	4	5	1	1	3	6
Gm19810	10	20	21	18	27	25	29
Cfd	134	83	921	87	380	648	1478
Med16	37	43	45	40	60	47	44
Gm24019	0	1	1	0	1	0	0
R3hdm4	62	138	121	101	149	135	100
Gm26602	2	0	1	1	0	0	1
Kiss1r	0	2	3	1	1	1	1
Arid3a	4	26	14	12	19	14	8
Wdr18	88	132	149	103	185	135	123
Grin3b	0	1	1	0	0	0	2
Tmem259	29	62	50	41	56	47	64
Cnn2	113	164	239	154	265	218	188
Abca7	27	38	36	47	66	31	37
Arhgap45	15	20	35	13	24	19	18
Polr2e	204	325	322	279	464	393	302
Gpx4	735	1151	1296	1249	2506	1817	1461
Sbno2	35	44	57	43	53	29	51
Stk11	64	99	100	78	121	108	81
Cbarp	10	15	18	14	26	13	14
Atp5d	528	781	894	656	1096	882	832
Midn	26	51	34	49	40	46	41
Cirbp	69	151	132	112	162	206	125
1600002K03Rik	38	32	44	40	46	42	46
Ef02	8	13	9	6	14	17	8
Mum1	36	64	66	49	75	69	59
Ndufs7	343	499	572	405	745	580	509
Gamt	232	291	368	284	554	400	277
Dazap1	78	126	134	130	157	111	134
Gm15122	1	0	3	1	2	2	1
Rps15	1949	2739	3028	2963	3807	3680	3324
Apc2	2	3	2	1	5	1	2
2310011J03Rik	36	82	97	63	124	97	91
Pcsk4	4	6	9	6	6	10	10
Reep6	6	21	20	11	10	12	24
Adamtsl5	2	0	2	1	0	1	1
Plk5	0	0	0	0	1	1	0
Mex3d	17	41	29	33	41	41	21
Mbd3	96	154	138	113	170	139	127
Uqcr11	979	1330	1566	1184	1773	1556	1460
