	OvaryPNAF1CNT2	OvaryPNAF1CNT3	OvaryPNAF1CNT4	OvaryPNAF1DHT1	OvaryPNAF1DHT2	OvaryPNAF1DHT4
Gm10925	7957	14492	11661	8780	7329	14427
Gm28661	6008	8381	8184	6489	5297	9272
Gm29216	3130	5195	5550	3493	2739	12988
Lmbrd1	107	201	147	126	87	279
Gm9443	0	1	1	0	0	1
Adgrb3	0	1	0	0	0	1
Gm15702	1	0	0	0	0	1
2900022M07Rik	0	0	1	0	0	0
Gm19028	0	0	0	0	1	0
Gm7846	9	28	17	11	6	20
Gm5697	0	1	1	0	0	0
Gm6462	0	0	1	0	0	0
Gm5525	39	91	67	55	46	58
Gm6473	0	0	1	3	2	0
Phf3	80	202	167	97	79	213
Gm37522	5	2	4	3	1	1
Gm37906	5	2	10	5	2	8
Ptp4a1	29	85	71	50	23	96
4931428L18Rik	2	2	5	4	1	2
Gm19680	3	4	4	0	3	10
Khdrbs2	1	0	1	2	0	2
Gm37999	1	0	0	0	1	2
Gm37110	0	1	0	2	0	0
Gm37792	2	0	0	0	0	0
Gm7114	0	0	3	1	1	0
Prim2	28	55	38	40	29	42
Gm29228	1	4	1	2	1	20
Gm37618	1	0	1	3	1	0
Gm17813	0	0	0	0	0	0
1700001G17Rik	2	6	2	1	2	2
Rab23	14	38	33	21	19	44
Bag2	26	80	69	41	23	65
Zfp451	70	144	154	81	56	155
Gm15455	0	1	1	2	0	5
Bend6	0	0	0	0	0	2
Dst	118	232	162	153	82	350
Gm37354	1	0	0	1	0	0
Gm38157	3	3	4	4	2	12
Gm26788	0	0	1	2	3	3
A930005N03Rik	0	0	0	0	1	0
Gm37385	0	0	0	0	1	0
Gm3052	1	4	1	3	0	7
Gm37233	3	10	1	5	2	3
Ccdc115	38	85	73	56	28	71
Gm28306	0	0	1	0	0	0
Imp4	63	219	199	120	76	198
Ptpn18	53	129	83	79	53	69
Gm28417	0	8	1	3	0	1
4930568A12Rik	0	1	0	0	0	0
Arhgef4	2	16	13	9	1	15
Gm38336	3	2	3	1	0	2
Fam168b	132	271	293	158	135	320
Gm37127	4	7	5	2	2	1
Plekhb2	18	51	69	34	37	112
Gm8009	0	1	0	1	0	0
1110002O04Rik	1	0	0	0	0	0
Hs6st1	98	185	200	103	70	423
Gm37335	2	7	3	1	0	12
Gm33280	0	2	0	0	0	0
Uggt1	90	280	221	119	75	253
Neurl3	9	23	18	6	12	12
Arid5a	8	18	11	9	5	23
4930403P22Rik	4	3	2	3	3	4
Kansl3	82	192	180	90	75	227
Fer1l5	3	0	0	0	0	2
Lman2l	28	94	77	50	35	103
Cnnm4	5	11	8	5	3	15
Gm37909	0	0	0	0	0	1
Cnnm3	24	54	54	26	23	92
Gm38033	2	0	0	2	1	1
Ankrd23	0	1	1	0	0	0
Ankrd39	33	78	68	28	27	62
Sema4c	40	85	92	40	36	74
D430040D24Rik	2	15	2	6	1	9
Fam178b	2	6	7	2	1	3
Gm6428	6	4	5	4	1	12
Cox5b	983	2061	2141	1118	900	1429
Actr1b	110	306	270	144	98	367
4933424G06Rik	0	2	1	0	0	0
Zap70	2	3	7	3	0	6
Tmem131	36	87	57	43	35	119
Gm38115	2	18	15	18	5	18
F830112A20Rik	1	1	1	1	1	1
Rpl12-ps1	6	10	14	4	4	36
Vwa3b	1	0	0	0	0	0
Inpp4a	15	32	33	17	11	36
4930439A04Rik	0	0	0	0	0	0
Coa5	92	204	164	110	78	248
Unc50	102	249	228	126	99	221
Mgat4a	5	16	14	11	6	20
4930594C11Rik	0	0	0	0	0	1
2010300C02Rik	2	2	3	4	1	7
Tsga10	11	12	13	9	5	16
Gm26805	0	0	0	1	0	0
Lipt1	10	24	18	12	6	24
Mitd1	35	84	56	52	28	56
Mrpl30	211	571	362	254	195	393
Txndc9	139	349	333	188	138	279
Eif5b	283	559	423	319	258	643
