	OvaryPNAF1CNT2	OvaryPNAF1CNT3	OvaryPNAF1CNT4	OvaryPNAF1DHT1	OvaryPNAF1DHT2	OvaryPNAF1DHT4
Hist2h2ab	0	3	2	2	1	0
Hist2h2ac	7	7	6	11	8	4
Gm44492	0	0	0	0	1	1
Hist2h2be	25	39	90	28	14	82
Hist2h3c2	13	22	37	14	5	45
Gm20632	2	11	5	6	7	12
Hist2h2aa2	252	328	620	219	147	381
Gm20633	3	6	10	2	2	4
Gm20634	1	2	1	0	0	0
Gm20627	0	0	2	1	0	3
Hist2h4	10	21	11	10	11	12
Gm38227	4	5	2	2	1	3
Gm20628	5	6	13	5	4	7
Hist2h3b	0	5	2	3	0	1
Gm42743	0	0	0	0	0	0
Fcgr1	15	32	21	10	13	18
Platr30	1	4	5	1	2	0
Rnu1b1	1	2	4	0	0	0
Gm17575	1	5	2	2	0	1
Pafah1b1-ps1	0	2	0	0	1	4
Gm21960	1	1	0	0	0	0
Gm26232	1	0	1	0	0	1
Gm9207	0	3	3	2	0	3
Rnu1b6	7	4	12	10	8	3
Gm25890	4	0	2	2	5	3
Gm22614	2	0	4	0	2	2
Hfe2	0	0	0	0	0	3
Gm15441	8	5	6	11	5	10
Txnip	312	622	809	402	322	724
Gm16253	0	4	4	1	0	1
Polr3gl	60	108	106	59	46	69
Ankrd34a	3	1	1	0	0	4
Lix1l	107	222	185	111	68	238
6330549D23Rik	1	5	5	0	4	3
Rbm8a	309	808	716	375	323	455
Pex11b	22	63	51	18	15	74
Gm42957	0	3	0	2	0	1
Itga10	6	10	8	5	5	8
Rpl21-ps11	2	13	10	5	6	45
Ankrd35	32	78	195	40	22	82
Pias3	31	114	72	39	28	109
Nudt17	5	13	3	6	3	13
Polr3c	43	130	104	65	48	129
Gm22581	0	0	2	0	1	0
Gm42783	9	14	18	12	4	20
Rnf115	56	96	86	64	60	145
Cd160	1	8	2	3	1	4
Pdzk1	2	5	2	2	2	6
Gpr89	32	85	55	37	36	75
Gja5	7	10	23	4	2	12
Acp6	30	122	89	50	48	101
Bcl9	45	66	57	39	33	98
Gm42508	6	16	14	4	7	5
Gm43073	0	0	0	0	0	0
Chd1l	22	34	33	16	17	52
Gm43075	1	5	0	0	1	7
Fmo5	12	23	26	10	10	24
Prkab2	37	111	122	39	29	167
Pde4dip	55	90	86	54	38	113
Gm31305	4	5	23	5	2	1
Sec22b	150	356	318	153	131	415
Gm5544	0	1	0	0	0	0
Notch2	54	108	80	57	41	137
Gm42819	2	4	2	8	3	5
Gm42820	6	13	10	5	3	29
Hmgcs2	486	1074	1503	730	526	934
Gm43189	4	2	4	5	3	8
Phgdh	75	261	94	121	94	144
Zfp697	14	32	40	21	14	29
Gm4450	0	0	0	1	0	1
Gm43190	2	0	5	2	1	5
Gm19210	0	1	2	1	0	3
Gm10681	0	0	0	0	0	1
Gm5853	0	2	2	0	0	1
Gm9678	1	1	1	0	0	0
Hsd3b5	0	0	1	3	2	1
Gm12400	1	2	2	1	0	3
Hsd3b2	5	7	7	6	1	1
Hsd3b3	2	0	0	0	2	3
Hsd3b6	17	23	63	17	12	25
Gm12427	0	1	3	2	2	2
Gm12428	2	22	8	4	3	9
Gm12431	2	11	12	7	6	10
Gm12432	1	4	2	1	3	3
Hsd3b1	4301	9045	8331	5457	4536	7116
Hao2	365	1032	530	540	416	867
5730437C11Rik	0	2	1	0	0	1
Wars2	24	47	52	29	24	41
Gm43024	4	2	3	3	3	8
Gm42717	2	1	6	2	2	1
Tbx15	0	0	1	1	1	2
Gm43120	0	1	0	0	0	0
M6pr-ps	3	5	6	2	2	4
Gm22505	1	0	2	1	0	1
Spag17	0	1	0	0	1	1
Wdr3	40	80	49	31	19	67
Gdap2	18	46	45	26	24	53
Fam46c	26	68	96	33	17	98
Gm12474	0	2	3	1	0	5
Gm42868	1	0	10	3	2	1
Man1a2	97	267	188	129	103	343
Gm43466	3	0	4	3	1	4
Gm42869	1	7	1	3	2	1
Gm43462	6	4	3	5	2	9
Gm43463	0	0	2	2	0	2
Gm43464	0	1	1	1	0	0
Vtcn1	0	1	4	0	0	2
Trim45	8	20	31	9	2	7
Ttf2	25	59	35	29	20	68
Gm12488	1	1	0	0	0	2
Cd101	0	4	1	0	1	0
Ptgfrn	67	124	71	84	53	269
Gm43465	2	0	0	0	0	0
Tpt1-ps1	1	9	3	3	3	11
Gm12490	0	6	0	1	0	4
Cd2	2	2	4	0	2	2
Gm10355	0	5	2	2	2	11
Igsf3	108	178	146	109	92	392
Gm42939	1	1	3	1	2	8
Gm42538	5	3	3	1	2	3
Atp1a1	208	699	549	266	203	1017
Gm42937	0	0	0	2	1	2
Gm42941	0	6	1	0	1	3
Mab21l3	2	4	3	3	1	8
Slc22a15	21	51	29	21	20	50
Gm18894	0	0	0	0	0	1
Casq2	2	4	10	0	0	5
4632404M16Rik	0	2	1	0	0	1
Vangl1	20	58	31	15	15	61
Gm16160	0	0	0	0	0	1
Ngf	6	18	17	6	6	9
Gm42679	2	6	1	0	1	4
Tspan2	13	25	18	12	11	41
Tshb	0	2	2	1	0	1
Sycp1	1	0	2	0	0	0
Gm33952	4	2	8	1	4	20
Nr1h5	0	0	0	0	1	0
Sike1	49	201	143	94	60	178
Csde1	415	902	668	519	397	876
Nras	126	243	219	149	120	339
Gm43062	1	4	2	2	2	6
Ampd1	0	0	0	1	0	1
Dennd2c	3	12	15	5	4	15
Bcas2	117	256	230	155	101	188
Trim33	55	128	83	71	51	148
Gm43061	2	2	3	4	2	4
Gm25869	0	0	1	0	0	0
Syt6	0	2	0	2	1	0
Atg4a-ps	1	2	3	1	0	1
Olfml3	54	181	99	76	48	108
Hipk1	138	347	202	178	112	574
Gm43149	4	11	5	2	0	2
Gm15886	9	7	0	4	4	8
Gm43387	2	1	0	1	3	1
Dclre1b	20	62	32	22	21	102
Gm15471	2	1	0	2	3	1
Ap4b1	5	11	5	5	3	29
Bcl2l15	0	0	1	1	0	0
Ptpn22	12	18	14	14	4	34
Gm15472	1	2	0	0	0	1
Gm43065	0	0	0	1	0	0
Gm15602	0	0	0	0	0	0
Rsbn1	20	80	47	26	27	92
Phtf1os	1	7	5	6	3	7
Phtf1	17	76	63	33	25	70
Magi3	29	60	34	36	26	84
Gm42696	7	1	5	6	1	6
9530097N15Rik	0	0	1	0	0	1
Gm42700	0	2	0	0	0	0
Gm42699	0	0	0	2	0	2
Gm42702	1	5	3	5	2	4
Gm42701	1	6	2	0	0	6
Gm43258	1	3	5	5	1	6
C030032O16Rik	1	1	0	0	0	1
Gm43259	2	3	1	2	2	3
Gm43260	2	5	1	2	0	3
Gm43256	2	4	2	4	3	2
Gm5546	0	0	0	0	0	0
Lrig2	23	36	56	30	29	70
Gm43696	7	13	15	8	8	21
A530041M06Rik	9	15	17	12	4	17
4930509H03Rik	1	1	1	1	1	2
Gm43582	2	0	1	0	0	0
Slc16a1	31	103	119	48	41	145
Gm43581	3	3	3	1	4	2
Gm6485	1	5	1	4	0	6
Gm43584	17	16	24	20	12	7
Fam19a3	0	2	0	0	0	1
Ppm1j	1	11	6	3	3	6
Rhoc	192	490	345	185	163	357
Mov10	20	66	66	49	19	80
Capza1	158	345	219	192	153	375
Gm42658	1	5	3	2	0	1
Gm42659	9	7	8	10	7	35
St7l	44	120	92	51	43	89
Gm4525	2	13	13	2	3	44
Wnt2b	8	4	11	9	6	4
Gm43846	0	1	2	0	0	2
Gm40117	1	1	0	0	0	2
Cttnbp2nl	56	90	99	53	38	94
Kcnd3os	0	1	2	0	0	0
Kcnd3	8	31	36	17	6	24
Gm43847	2	0	2	2	2	2
Ddx20	24	44	31	16	21	40
Fam212b	2	9	6	3	1	7
Gm43848	1	7	6	4	0	11
Rap1a	134	381	183	147	107	326
Gm43328	1	4	2	2	1	2
Gm43329	4	9	5	6	4	8
Gm43330	3	3	0	1	1	4
Gm43331	1	8	1	2	1	3
Gm5547	0	3	3	2	0	0
Adora3	1	0	1	0	0	0
I830077J02Rik	4	6	4	3	2	2
Atp5f1	592	1295	1294	781	569	1029
Wdr77	34	93	81	55	44	137
Gm42890	1	0	1	0	1	1
Ovgp1	3	5	2	66	3	109
Pifo	1	0	1	4	0	8
Gm42722	0	0	0	1	0	1
Gm42721	0	0	0	1	0	0
Gm4540	37	97	105	52	47	96
Gm9504	0	0	1	0	0	0
Chia1	0	0	0	1	0	1
Chil3	1	21	1	5	1	5
2010016I18Rik	0	2	0	1	2	0
Dennd2d	9	17	6	6	4	15
Cept1	66	157	110	90	65	143
Dram2	132	301	197	149	117	239
Gm43071	2	7	4	3	1	6
Lrif1	38	83	67	41	32	96
Gm38253	4	1	2	2	1	2
Cd53	16	56	32	31	20	35
Gm35507	0	0	0	1	0	1
Kc03	0	0	0	0	0	0
AI504432	3	4	2	4	3	4
Kc02	1	2	2	3	1	1
Lamtor5	244	717	519	329	267	393
Slc16a4	8	12	4	3	3	7
Rbm15	9	55	27	24	14	67
Gm5279	0	0	0	0	0	0
Kcnc4	0	0	0	0	0	2
Slc6a17	1	1	3	2	1	3
Strip1	38	93	74	35	25	110
Ahcyl1	104	267	182	130	78	347
Csf1	13	41	28	11	8	29
Gm36211	1	1	0	0	0	0
Gm5075	2	5	3	6	2	31
Eps8l3	0	2	1	0	2	3
4933431E20Rik	6	12	24	21	8	10
Gstm5	118	291	269	151	114	173
Gm9515	0	0	0	0	0	0
Gstm7	50	148	273	49	34	92
Gstm6	8	41	83	18	16	24
Gm12494	0	2	1	0	0	1
Gstm3	2	7	9	1	0	4
Gm12497	36	43	49	41	18	59
Gstm2	403	1243	1775	523	422	532
Gstm1	394	1357	1767	554	330	724
Gm12502	1	1	1	0	2	0
Gstm4	20	42	40	20	19	40
Ampd2	35	106	56	45	35	102
Gm12500	1	1	1	0	3	2
G0t2	3	4	1	1	2	5
G0i3	130	325	262	198	151	364
Gpr61	0	0	0	1	0	0
Gm12524	1	0	0	1	0	1
Amigo1	20	21	30	14	16	60
Cyb561d1	27	46	65	37	10	95
Atxn7l2	7	31	27	14	8	23
Sypl2	1	0	0	0	0	0
Gm12501	0	2	0	1	0	12
1700010K24Rik	4	4	13	9	2	1
Psma5	350	797	571	484	352	564
Sort1	21	45	47	23	12	51
Gm43099	1	0	0	0	0	0
Mybphl	1	1	1	1	0	0
Gm12522	0	5	0	0	0	1
Psrc1	7	27	32	11	6	21
Celsr2	5	20	4	7	4	7
Sars	94	263	229	147	101	306
5330417C22Rik	38	54	88	41	18	115
Gm37859	3	5	4	1	0	6
1700013F07Rik	0	1	1	3	1	3
Scar02	14	14	20	13	3	22
Gm43435	0	1	0	0	0	2
Tmem167b	54	91	114	59	58	150
Taf13	84	235	237	117	106	154
Wdr47	13	26	40	19	6	44
Gm12517	2	3	1	2	0	19
Clcc1	49	118	101	58	58	112
Gpsm2	10	28	17	23	7	34
Ak0d1	1	2	0	0	1	3
Stxbp3	83	199	159	104	74	217
Fndc7	1	3	0	4	0	4
Prpf38b	138	297	252	138	107	206
Henmt1	0	1	0	4	2	6
Gm9857	0	0	0	0	0	0
Fam102b	46	109	89	57	47	113
Gm19391	2	8	5	2	1	6
Slc25a24	69	105	114	73	47	163
Vav3	8	18	12	7	5	17
Ntng1	5	11	24	12	5	9
Prmt6	6	40	18	12	9	34
C130013H08Rik	8	11	12	9	2	11
Gm4859	20	32	36	25	18	65
Gm9317	1	1	1	0	1	3
Gm42526	0	0	0	0	0	0
Gm43587	1	2	0	0	0	1
Gm5548	0	1	0	0	1	0
Amy2b	0	0	1	0	1	0
Amy2a5	1	0	0	0	0	0
Amy2a3	0	0	3	1	0	0
Amy1	12	16	64	12	17	20
Rnpc3	15	55	49	38	20	48
Gm17775	1	1	3	0	0	1
Col11a1	41	78	97	58	42	83
S1pr1	35	63	69	37	37	83
Gm9889	1	0	0	1	0	0
A930005H10Rik	21	46	49	17	16	32
Dph5	28	102	71	47	26	82
Gm43108	0	0	2	0	0	0
Slc30a7	61	147	102	73	56	151
Gm43106	0	1	0	1	0	0
Gm6649	2	8	0	2	1	4
Extl2	38	84	57	54	39	97
Vcam1	16	64	57	35	25	34
Gm43109	0	0	0	0	0	1
Gpr88	1	1	2	3	0	4
Cdc14a	26	69	85	33	25	95
Gm29151	1	2	3	2	1	2
Rtca	53	140	112	62	47	167
Gm26530	0	0	0	0	0	0
Dbt	97	176	144	108	92	272
Gm4596	0	0	0	0	0	2
Gm43651	1	1	0	0	1	0
Gm9761	12	32	18	8	8	13
Lrrc39	2	5	4	1	1	1
Gm42940	2	3	4	0	0	2
Trmt13	22	52	53	36	29	59
Sass6	8	27	17	12	8	23
Gm42893	5	18	12	4	8	7
Mfsd14a	72	216	134	93	78	229
Gm42457	0	1	0	0	0	1
4930512P04Rik	0	2	1	0	0	0
Slc35a3	39	87	62	59	42	111
Agl	59	119	89	73	46	133
Frrs1	59	137	101	74	50	179
Palmd	18	50	23	13	10	29
Gm42892	4	4	5	3	3	8
4930455H04Rik	0	0	0	0	1	0
Gm9332	0	4	0	1	2	6
Gm9632	3	2	6	1	2	10
Gm19243	8	15	13	2	2	53
Plppr4	6	4	7	5	1	11
Plppr5	1	4	4	3	0	1
Snx7	18	44	32	21	19	65
Gm4321	1	2	4	0	0	2
Dpyd	17	22	43	15	18	38
Gm43410	1	0	1	1	0	0
Gm4332	225	244	278	198	176	699
Ptbp2	41	94	81	62	54	86
Gm43300	2	6	4	1	0	2
Gm42664	0	6	1	2	1	3
6530403H02Rik	1	1	0	1	1	1
Gm42927	0	0	2	0	0	0
Gm43444	1	3	5	1	2	13
Rwdd3	31	44	61	36	30	41
Tmem56	49	64	69	61	36	359
Gm9353	2	1	1	0	1	2
Alg14	77	198	211	118	98	178
Gm26027	0	3	2	1	0	1
Gm42928	1	1	0	0	0	1
Cnn3	447	1140	610	466	399	1088
Gm42929	1	2	0	1	2	2
Slc44a3	23	55	63	28	28	71
A530020G20Rik	79	212	115	57	56	273
A730020M07Rik	1	0	0	4	0	2
Gm43823	0	1	2	4	2	1
F3	39	75	40	25	30	126
Gm42777	0	0	2	1	1	3
Abcd3	94	205	158	146	82	279
Gm43609	6	34	27	10	3	14
4633401B06Rik	4	8	7	7	5	14
Gm42776	0	2	2	0	1	2
Arhgap29	123	295	228	169	104	270
Gm42544	0	0	1	0	0	0
Abca4	1	10	20	3	4	4
Gm4609	1	7	0	2	2	3
Gclm	31	104	79	54	36	128
Gm17494	9	24	14	9	8	14
Gm6061	55	114	74	56	45	272
Dnttip2	70	162	114	77	76	144
Gm40190	0	0	0	0	0	0
Bcar3	19	72	74	26	9	79
Gm42836	0	0	0	2	2	1
Gm25153	0	0	0	1	0	0
Fnbp1l	77	178	105	102	71	168
Gm43569	0	0	0	0	1	1
Gm42994	0	1	0	0	0	0
Gm43568	1	1	1	0	0	1
Gm5981	2	2	1	0	0	5
Pde5a	122	231	131	132	118	264
4930447N08Rik	1	2	1	2	3	0
Gm34139	0	1	0	1	0	1
Gm9364	1	2	2	0	2	2
4933405D12Rik	4	1	4	2	3	0
Fabp2	0	1	0	0	0	0
Gm10959	1	1	0	0	0	4
1810037I17Rik	486	1043	1390	538	453	737
Usp53	70	133	124	86	72	200
Myoz2	0	1	1	0	1	1
Synpo2	6	25	22	16	9	17
Gm43287	3	2	2	3	0	2
Gm43288	0	0	0	0	0	0
Gm43283	1	1	0	0	2	1
Sec24d	105	216	143	110	63	236
Mettl14	24	51	65	27	24	69
Prss12	1	6	1	3	1	9
Snhg8	284	401	497	318	242	382
Gm9369	2	1	0	1	1	0
Ndst3	1	6	1	1	0	3
Gm15400	0	1	0	0	0	1
Gm15399	0	0	0	0	0	0
Tram1l1	4	15	13	6	3	15
Gm4617	18	63	46	35	15	64
Ndst4	1	2	2	2	1	4
Ugt8a	0	0	0	1	0	2
Gm18916	0	0	1	0	0	2
Arsj	1	12	5	1	1	9
Gm43327	0	0	0	0	0	0
Gm20568	13	15	22	13	10	84
Camk2d	80	180	124	93	61	207
Gm43011	2	8	6	5	3	3
Gm43010	3	2	1	2	0	3
Gm43009	4	5	5	4	2	15
Gm43006	3	3	0	2	2	2
Gm43005	3	5	3	2	1	1
Gm15551	1	3	2	1	1	1
Gm42515	7	14	10	7	6	17
Gm42514	1	4	1	0	4	3
Ank2	27	52	56	45	28	66
Gm43322	2	5	5	6	1	2
Gm43751	1	1	2	2	2	1
Gm42974	0	0	0	3	0	0
Gm16958	0	0	1	2	0	1
C230031I18Rik	3	5	2	3	1	2
Gm42973	2	4	1	1	2	1
Gm42972	3	3	9	2	3	4
Gm42971	4	6	7	3	5	6
Gm42970	1	0	5	2	4	8
Gm42969	0	0	0	0	2	0
Gm42525	0	2	0	0	0	2
Larp7	77	182	138	117	69	167
Zgrf1	9	24	19	19	13	30
Alpk1	6	16	17	6	4	10
Gm16238	4	13	9	5	2	61
1500005C15Rik	0	1	0	2	0	0
Gm42587	0	0	0	1	2	0
Tifa	16	40	36	12	12	24
Ap1ar	36	112	88	50	43	128
Gm43654	0	0	1	0	0	1
Gm43653	1	0	4	1	1	2
Gm43652	0	1	0	1	0	0
Fam241a	3	8	9	5	4	10
Gm9387	1	1	1	0	0	1
Pitx2	0	0	0	0	0	0
Enpep	43	79	54	40	21	59
Rpl7a-ps7	86	180	200	93	93	154
Gm35986	1	1	1	1	0	2
Elovl6	173	385	472	197	165	523
Gm43072	0	0	3	3	1	3
Egf	8	7	3	3	0	6
Gm42650	0	1	0	2	0	0
Rrh	0	1	0	0	0	0
Gar1	46	151	112	68	41	143
Cfi	0	5	3	0	0	2
Pla2g12a	20	103	77	29	22	108
Casp6	117	325	249	133	114	283
Mcub	12	44	17	14	11	38
Sec24b	72	140	127	71	52	173
Gm9396	145	123	130	203	153	220
Col25a1	3	8	7	3	4	2
Gm22682	0	1	0	0	0	0
Gm43210	1	2	0	0	0	2
Ostc	230	643	474	283	236	427
Gm42998	0	0	2	0	1	1
Rpl34	2368	3664	4648	2749	2371	2738
Gm42997	1	1	1	0	0	1
Gm43524	0	2	3	5	3	20
Gm43522	0	0	0	0	0	0
Gm5982	0	0	0	1	0	1
Gm43351	0	1	1	0	0	0
Gm5855	0	2	1	0	2	1
Gm43352	0	2	1	0	1	0
Lef1	4	7	3	9	1	9
Gm42449	0	0	1	1	0	1
Hadh	178	475	528	253	209	515
Cyp2u1	9	20	11	6	5	13
4930534D22Rik	0	0	0	0	0	2
Sgms2	46	82	93	56	49	208
Gm43116	0	0	0	0	0	0
Papss1	78	194	152	85	59	197
Gm42881	1	1	0	1	0	1
Dkk2	9	6	8	5	1	13
Gm9402	0	2	0	1	0	0
Aimp1	130	322	246	170	143	292
Tbck	35	57	56	33	24	86
Gm42872	0	4	2	0	0	1
Gm22322	0	1	0	0	0	0
Gm42876	5	11	4	4	7	13
Gm29811	1	4	2	0	0	5
Gm9403	6	2	2	4	2	9
Npnt	23	30	33	16	11	42
Gstcd	14	55	45	17	15	49
Gm42874	0	0	2	2	4	2
Gm42873	1	1	0	0	1	0
Ints12	14	60	50	27	31	49
Arhgef38	0	0	0	0	0	0
Gm43254	1	9	16	4	3	8
Ppa2	70	197	95	80	63	154
Tet2	53	103	70	85	33	99
Gm42567	0	2	0	0	0	0
Gm26691	3	7	3	2	2	3
Gm44361	0	1	0	1	0	0
Gm43193	0	0	0	0	0	1
Gm30648	1	0	1	1	1	0
Cxxc4	6	30	52	13	10	19
Tacr3	0	0	1	0	1	0
Gm24048	1	0	0	1	0	0
Cenpe	55	97	69	70	42	70
Bdh2	3	15	15	6	4	9
Slc9b2	0	3	8	0	2	5
Slc9b1	1	1	2	1	0	0
Cisd2	96	250	214	117	75	264
2810428J06Rik	3	2	3	5	5	7
Gm43379	2	4	10	3	3	4
4930539J05Rik	3	12	12	3	4	4
Ube2d3	381	865	696	415	300	1060
Manba	16	55	45	25	20	69
Oaz2-ps	3	4	7	5	2	8
Nfkb1	71	176	151	87	54	186
Gm43430	3	16	4	4	5	8
Slc39a8	11	35	27	13	11	21
Gm43429	1	0	1	0	1	1
Gm43428	1	0	0	0	0	0
Gm31243	0	0	0	0	0	0
Gm5281	0	0	2	0	0	0
Bank1	0	4	6	2	1	1
Gm9408	0	1	2	0	1	0
1700030L20Rik	0	0	1	1	0	1
Ppp3ca	135	290	279	200	152	515
Gm42822	1	3	1	0	1	3
Gm43357	0	0	0	0	0	0
Gm9409	4	3	6	6	5	24
Emcn	80	183	180	88	62	156
Ddit4l	83	144	396	76	45	108
Gm31678	0	1	0	0	0	0
Gm43403	0	1	0	0	0	1
H2afz	770	1774	1495	998	867	989
D0jb14	93	144	182	118	95	257
Gm40155	1	2	5	2	0	1
Gm43088	12	21	28	13	15	28
Gm15460	1	4	9	2	0	3
Gm43689	0	3	3	2	1	1
Lamtor3	105	263	234	156	105	222
Dapp1	15	52	44	35	25	58
Gm5105	1	3	0	0	0	2
1110002E22Rik	5	14	15	15	13	10
Mttp	6	28	24	20	14	22
Trmt10a	30	54	42	24	22	50
0610031O16Rik	0	1	0	0	0	0
Adh7	31	85	41	36	36	46
Adh1	409	1412	1356	523	461	584
Gm16559	2	5	1	2	1	2
Adh6b	0	1	0	0	0	2
Adh5	276	573	624	338	278	431
Metap1	48	138	119	58	39	152
Eif4e	203	481	346	237	169	404
Gm43723	0	0	0	0	1	1
Tspan5	48	114	88	57	36	151
Gm16060	2	0	1	2	5	3
Rap1gds1	38	120	120	55	51	214
Gm43162	3	8	3	6	3	6
Stpg2	0	1	0	0	0	2
Gm24260	0	0	0	1	0	0
Gm2451	35	114	59	36	25	62
Unc5c	1	15	11	3	6	7
Bmpr1b	31	61	122	29	19	55
Gm6059	0	0	1	0	0	0
Pdlim5	75	173	154	79	51	205
Gbp5	2	7	4	4	5	3
Gbp7	70	135	118	101	73	192
Gbp3	24	53	28	26	21	71
Gbp2b	0	0	2	1	1	0
Gbp2	55	162	87	88	67	112
Mir6381	0	1	0	0	0	1
Kyat3	20	64	74	32	22	39
Gtf2b	131	260	249	157	124	273
Pkn2	105	212	141	128	96	278
Gm43646	0	1	0	1	1	0
9530052C20Rik	1	0	1	0	0	1
Gm31306	0	0	1	0	0	0
Gm2574	3	3	4	3	2	1
Gm33651	0	0	0	2	1	2
Lmo4	222	587	365	209	186	520
Gm43445	7	7	7	7	5	15
Gm5857	3	4	4	4	0	12
Hs2st1	38	129	82	46	37	108
Gm43707	2	3	0	3	4	1
Gm43560	6	4	30	4	3	16
Selenof	477	1179	770	635	537	797
Gm24406	0	0	2	1	2	1
Rpl9-ps8	0	0	0	0	0	0
Sh3glb1	178	363	295	196	137	503
Gm9419	1	0	0	1	0	1
Clca3a1	19	75	57	26	21	47
Clca3a2	2	3	1	2	2	9
Clca3b	0	0	0	0	0	1
Gm35066	0	1	1	0	0	0
Clca2	1	1	0	3	0	2
Odf2l	18	63	56	30	30	67
Col24a1	0	5	2	3	1	1
Znhit6	30	87	123	44	34	86
Cyr61	22	101	67	28	25	75
Gm17501	29	67	59	19	21	24
Ddah1	11	42	43	10	13	34
Rpl36a-ps2	571	1286	1382	695	570	672
Bcl10	48	127	91	65	50	83
2410004B18Rik	23	92	58	39	25	90
Syde2	4	6	10	7	3	20
Wdr63	0	0	0	3	0	3
Mcoln3	0	0	0	0	0	0
Mcoln2	2	3	2	1	1	0
Lpar3	0	0	0	1	0	1
Gm10636	0	0	0	0	0	1
Ssx2ip	11	23	21	14	11	37
Ctbs	28	68	55	49	17	46
Spata1	16	30	32	17	10	46
Gng5	599	1183	909	681	468	985
Rpf1	42	148	90	50	49	76
Uox	0	0	0	1	0	0
Samd13	2	1	1	0	0	1
Gm9480	0	0	0	0	0	1
Prkacb	108	220	197	114	96	239
Gm19104	0	1	0	1	0	0
Gm10288	145	402	404	211	164	171
Ttll7	25	53	36	13	19	42
Gm43574	0	5	2	0	0	0
Adgrl2	52	95	91	52	46	141
Gm43573	3	6	4	0	5	9
Gm25127	2	0	1	0	0	1
Gm30382	0	4	1	3	1	2
Gm5149	1	1	0	0	0	0
Rpsa-ps10	29	77	50	60	35	134
Gm6439	0	1	1	0	1	0
4930555A03Rik	0	1	2	1	1	0
Adgrl4	25	82	55	30	21	90
Gm24458	1	1	0	1	0	0
Ifi44	10	29	26	12	14	29
Ifi44l	0	0	0	0	0	0
Ptgfr	611	593	1085	563	372	1408
Gm43618	11	8	16	2	7	9
Gm43617	0	0	0	0	0	0
Gm43619	0	1	0	0	0	0
Gipc2	6	5	9	5	2	16
Gm16198	0	0	0	0	0	2
D630002J18Rik	0	1	0	0	0	0
D0jb4	58	116	149	60	46	182
Fubp1	262	551	469	357	319	468
Nexn	46	114	64	75	50	85
Gm43185	2	9	7	11	6	15
Miga1	27	71	44	30	22	65
Usp33	111	228	156	151	88	245
Gm42967	0	1	2	0	1	1
Gm43859	0	3	6	3	3	7
Gm43858	16	32	45	27	20	34
Gm43857	3	12	7	3	1	5
Zzz3	68	161	156	81	72	185
Ak5	1	2	1	0	0	2
Pigk	97	205	197	135	89	247
St6gal0c5	0	0	0	2	0	1
St6gal0c3	16	35	39	23	14	35
A530083M17Rik	4	3	1	1	4	8
4930597L12Rik	0	1	0	1	0	0
Msh4	1	5	2	2	1	2
Rabggtb	162	327	290	213	173	289
Gm24494	0	4	2	2	1	2
Gm43400	0	0	0	0	0	1
Acadm	224	494	421	258	225	414
Gm3076	2	1	0	2	1	1
Lhx8	3	4	5	2	0	6
AI606473	0	0	0	0	0	0
Tyw3	9	27	37	12	18	29
Cryz	19	45	58	31	22	42
Erich3	1	1	0	3	0	1
Fpgt	15	45	53	26	26	60
Lrriq3	3	10	3	0	3	2
Gm37482	0	2	0	0	0	2
Scp2-ps1	0	1	0	1	0	0
Gm42947	0	0	3	0	0	0
Gm6510	0	0	2	0	0	1
4930570G19Rik	1	0	0	0	0	0
Negr1	1	1	8	1	0	4
Gm42946	0	0	0	0	0	0
Gm42942	0	0	2	0	0	0
Gm43528	0	0	3	0	0	0
Gm5983	3	1	1	0	2	2
4930592C13Rik	0	2	0	0	0	3
Zranb2	142	276	196	165	98	260
Mir186	1	0	3	2	1	0
Ptger3	4	4	4	3	1	4
Gm33466	0	1	0	0	0	0
Gm5550	3	1	3	3	1	1
Gm6520	4	10	19	4	5	12
Cth	4	24	15	8	15	15
Gm43314	0	0	0	0	0	0
Ankrd13c	76	146	111	87	71	212
Gm42611	2	13	9	9	9	12
Srsf11	213	462	363	264	185	595
Gm43362	6	14	17	8	5	21
Lrrc40	25	68	59	35	35	80
B230334C09Rik	0	1	1	0	1	1
Lrrc7	2	0	1	0	2	0
Gm43485	0	1	1	1	0	0
Gm43655	0	0	1	1	0	2
Depdc1a	10	19	13	12	9	12
Wls	216	483	332	282	178	421
Gm43307	0	5	2	1	1	1
AI838599	7	17	12	10	6	15
Gm11787	1	1	0	1	1	0
Tmem68	34	89	70	52	34	91
Tgs1	87	156	141	107	96	115
Lyn	48	96	72	49	46	114
Gm26857	0	2	2	1	3	5
Gm11805	2	0	0	0	0	0
9430025C20Rik	1	0	0	0	0	0
Rps20	2011	2552	2808	2274	2027	2498
Mos	2	10	11	4	6	22
Plag1	1	3	1	0	1	0
Chchd7	64	126	106	69	52	119
Gm11808	102	196	172	121	71	487
Rps10-ps3	0	0	1	0	0	0
Penk	23	119	60	43	25	61
A830012C17Rik	1	0	2	0	0	0
Impad1	228	457	352	274	226	613
Fam110b	35	74	95	34	31	70
Ubxn2b	118	230	139	133	138	221
Cyp7a1	0	0	1	0	0	0
4930430E12Rik	0	1	1	2	0	0
Sdcbp	311	694	540	390	306	592
Gm37689	0	0	0	0	1	1
Nsmaf	74	175	167	95	58	210
Gm11803	0	0	0	0	0	0
Tox	2	4	22	5	1	13
Gm11802	0	0	0	0	0	0
Car8	5	1	5	2	1	1
Rab2a	244	600	489	293	229	838
Chd7	13	40	28	15	14	50
