	OvaryPNAF1CNT2	OvaryPNAF1CNT3	OvaryPNAF1CNT4	OvaryPNAF1HV1	OvaryPNAF1HV2	OvaryPNAF1HV3
Gm10925	7957	14492	11661	14164	15039	12435
Gm28661	6008	8381	8184	7900	8093	6853
Gm29216	3130	5195	5550	4962	5381	4643
Lmbrd1	107	201	147	173	149	130
Gm9443	0	1	1	0	0	0
Adgrb3	0	1	0	1	0	0
Gm15702	1	0	0	0	0	0
2900022M07Rik	0	0	1	1	0	0
Gm19028	0	0	0	0	0	0
Gm7846	9	28	17	25	26	18
Gm5697	0	1	1	2	0	0
Gm6462	0	0	1	0	0	0
Gm5525	39	91	67	58	53	62
Gm6473	0	0	1	3	0	1
Phf3	80	202	167	147	115	90
Gm37522	5	2	4	0	2	0
Gm37906	5	2	10	2	4	3
Ptp4a1	29	85	71	87	66	53
4931428L18Rik	2	2	5	9	6	6
Gm19680	3	4	4	2	4	3
Khdrbs2	1	0	1	1	3	2
Gm37999	1	0	0	0	0	0
Gm37110	0	1	0	2	0	1
Gm37792	2	0	0	0	0	0
Gm7114	0	0	3	0	0	1
Prim2	28	55	38	51	42	43
Gm29228	1	4	1	2	2	2
Gm37618	1	0	1	0	0	0
Gm17813	0	0	0	0	0	0
1700001G17Rik	2	6	2	3	3	3
Rab23	14	38	33	27	29	19
Bag2	26	80	69	68	67	70
Zfp451	70	144	154	127	109	100
Gm15455	0	1	1	2	1	0
Bend6	0	0	0	1	0	0
Dst	118	232	162	168	159	123
Gm37354	1	0	0	0	0	0
Gm38157	3	3	4	3	2	3
Gm26788	0	0	1	1	2	1
A930005N03Rik	0	0	0	0	0	0
Gm37385	0	0	0	0	0	0
Gm3052	1	4	1	2	2	3
Gm37233	3	10	1	1	2	2
Ccdc115	38	85	73	108	91	97
Gm28306	0	0	1	1	0	1
Imp4	63	219	199	221	175	163
Ptpn18	53	129	83	65	121	79
Gm28417	0	8	1	4	3	2
4930568A12Rik	0	1	0	1	0	3
Arhgef4	2	16	13	13	10	9
Gm38336	3	2	3	8	4	3
Fam168b	132	271	293	201	197	158
Gm37127	4	7	5	3	0	3
Plekhb2	18	51	69	61	70	60
Gm8009	0	1	0	0	0	0
1110002O04Rik	1	0	0	1	1	0
Hs6st1	98	185	200	206	172	160
Gm37335	2	7	3	2	3	1
Gm33280	0	2	0	2	1	2
Uggt1	90	280	221	267	186	213
Neurl3	9	23	18	13	26	16
Arid5a	8	18	11	30	17	7
4930403P22Rik	4	3	2	3	2	2
Kansl3	82	192	180	147	131	114
Fer1l5	3	0	0	2	0	0
Lman2l	28	94	77	99	72	58
Cnnm4	5	11	8	15	13	13
Gm37909	0	0	0	1	0	0
Cnnm3	24	54	54	39	44	35
Gm38033	2	0	0	0	0	0
Ankrd23	0	1	1	2	1	1
Ankrd39	33	78	68	77	69	46
Sema4c	40	85	92	52	79	50
D430040D24Rik	2	15	2	7	6	5
Fam178b	2	6	7	7	8	4
Gm6428	6	4	5	3	2	1
Cox5b	983	2061	2141	1985	1962	1912
Actr1b	110	306	270	275	230	200
4933424G06Rik	0	2	1	0	1	0
Zap70	2	3	7	9	10	5
Tmem131	36	87	57	51	51	53
Gm38115	2	18	15	15	12	5
F830112A20Rik	1	1	1	2	1	1
Rpl12-ps1	6	10	14	5	4	8
Vwa3b	1	0	0	1	2	1
Inpp4a	15	32	33	30	30	20
4930439A04Rik	0	0	0	1	0	0
Coa5	92	204	164	180	189	167
Unc50	102	249	228	269	279	226
Mgat4a	5	16	14	7	8	9
4930594C11Rik	0	0	0	1	0	0
2010300C02Rik	2	2	3	1	4	3
Tsga10	11	12	13	13	11	8
Gm26805	0	0	0	0	0	1
Lipt1	10	24	18	23	20	26
Mitd1	35	84	56	68	68	45
Mrpl30	211	571	362	517	527	461
Txndc9	139	349	333	362	311	241
Eif5b	283	559	423	433	433	371
Rev1	36	76	65	48	49	36
Gm37062	0	0	0	0	0	0
Aff3	11	37	52	21	25	32
Gm16150	0	0	0	0	0	0
Gm16152	1	2	4	2	3	1
Gm34727	0	0	1	0	0	0
2610300A13Rik	0	1	0	0	0	1
Lonrf2	0	1	2	2	2	4
Chst10	3	6	5	5	4	2
Gm6621	2	1	0	1	1	0
Pdcl3	143	319	297	316	336	256
Gm37309	1	0	3	2	1	1
Npas2	5	16	16	11	18	10
Gm20428	0	0	0	2	0	0
Gm3617	4	4	9	5	1	3
Rpl31	2383	4253	5149	3244	3081	3095
Tbc1d8	52	94	67	94	88	63
Gm37265	1	1	1	0	0	1
Cnot11	20	79	47	65	70	45
Gm15832	1	2	7	2	3	4
Snord89	3	4	5	3	6	5
Rnf149	58	119	95	139	136	104
Gm23722	1	0	1	1	0	1
Gm5100	0	2	5	1	1	0
Creg2	1	1	3	1	1	1
D930019O06Rik	0	2	0	0	0	0
Rfx8	1	1	0	2	0	1
Gm3646	0	0	1	0	0	0
1700066B17Rik	0	4	3	1	1	1
Map4k4	174	419	331	285	293	226
Il1r2	1	3	1	0	11	2
Gm16894	0	0	1	0	1	1
Il1r1	34	97	62	67	64	50
Gm38070	1	0	0	1	0	0
Il1rl2	24	36	19	31	35	28
Il1rl1	4	1	6	5	3	0
Il18r1	0	0	3	3	0	5
Il18rap	1	2	0	1	1	1
Slc9a4	0	0	0	0	0	0
Slc9a2	0	0	2	4	1	1
Gm37915	0	0	0	1	1	0
Mfsd9	3	13	12	8	8	8
Tmem182	1	3	2	0	1	0
Gm28175	0	0	1	0	0	0
Pou3f3	0	1	0	1	0	0
Mrps9	70	237	179	214	191	176
Gpr45	2	2	3	2	2	2
Tgfbrap1	31	57	42	55	45	39
8430432A02Rik	3	3	2	0	1	0
AI597479	28	75	57	48	56	38
Fhl2	66	152	147	150	124	110
Gm8210	7	24	9	11	14	14
Gm29610	0	0	0	1	1	0
Gm29041	1	0	1	0	1	0
Nck2	33	61	63	56	57	54
Gm37536	2	0	1	2	0	2
Gm38228	0	4	6	9	7	2
1500015O10Rik	5	8	8	11	12	10
Gm29155	1	0	0	1	2	0
Gm29156	1	0	3	2	1	0
Uxs1	38	143	129	137	109	88
Gm16103	1	3	3	4	3	2
Gm19587	5	15	5	8	7	7
Tpp2	99	267	237	201	193	138
Mettl21c	4	9	10	12	14	6
Gm8251	0	0	0	0	2	0
Tex30	30	69	59	71	76	54
Kdelc1	44	116	70	97	86	62
Bivm	19	40	31	39	45	33
Ercc5	29	86	83	57	45	41
Txn-ps1	1	2	4	8	6	4
Gulp1	37	72	58	63	108	54
Gm37626	4	6	7	5	13	3
Gm16102	0	2	1	0	1	0
Gm38110	1	1	0	1	2	1
Gm5268	1	0	3	3	0	1
Col3a1	1013	2105	977	1579	1668	1404
Col5a2	110	257	125	185	216	167
Gm38211	12	28	10	9	9	4
Gm8304	2	4	1	1	2	0
Wdr75	66	134	105	102	79	78
Gm5526	30	150	100	120	102	83
Gm5269	0	1	1	1	0	0
Slc40a1	71	130	98	110	91	103
Rpl23a-ps1	1	2	2	0	0	2
Gm18849	0	0	0	0	0	0
D0h7b	12	36	29	30	24	16
Gm8326	63	76	108	65	62	61
D0h7c	0	1	3	2	4	6
Slc39a10	51	106	79	77	68	54
