	OvaryPrepubertalDHT1	OvaryPrepubertalDHT2	OvaryPrepubertalDHT3	OvaryPrepubertalDHT4	OvaryPrepubertalCNT2	OvaryPrepubertalCNT3	OvaryPrepubertalCNT4
Gm14167	8	1	2	9	4	7	3
Fkbp1a	1163	277	956	568	738	1038	514
Sdcbp2	3	0	4	3	1	3	3
Snph	2	1	4	2	7	2	0
Tmem74b	2	1	1	2	3	1	0
Psmf1	81	42	88	103	72	58	30
Rspo4os	0	0	0	2	0	0	0
Angpt4	53	14	58	47	26	17	12
Gm14154	1	0	0	0	0	0	0
Fam110a	24	7	40	23	42	22	16
Slc52a3	7	4	8	4	4	8	1
Srxn1	162	14	111	30	125	95	43
Tcf15	3	0	0	1	0	2	1
Rps15a-ps7	7	4	2	1	6	2	4
Csnk2a1	237	108	175	208	235	204	130
Tbc1d20	114	59	108	115	91	70	55
Rbck1	97	44	89	103	82	117	45
Trib3	5	4	5	5	10	4	2
Gm14164	0	0	0	0	0	0	0
Gm14165	41	34	43	52	48	56	53
Sox12	38	42	29	64	29	33	13
Zcchc3	32	25	23	35	15	20	8
6820408C15Rik	4	3	2	11	0	1	0
Gm27343	0	0	0	0	1	0	0
Gm14158	0	1	0	1	0	0	0
Gm14156	1	1	0	0	0	0	0
Defb20	1	1	0	4	1	0	0
Defb28	0	0	1	0	0	1	0
Defb19	392	514	252	1019	94	126	93
Defb45	0	1	1	1	1	2	0
Defb36	5	0	5	1	5	4	3
Defb25	2	1	4	1	4	0	0
Rem1	31	7	25	13	23	41	5
1700030C14Rik	2	0	0	0	1	0	0
H13	807	195	624	422	514	558	321
Mcts2	78	32	102	69	122	98	57
Gm26841	1	0	0	1	3	3	2
Id1	186	61	132	185	124	156	115
Gm14162	0	0	0	0	1	0	0
Cox4i2	63	19	61	63	42	65	38
Bcl2l1	67	32	48	98	29	41	34
Tpx2	52	24	49	74	51	61	26
Mylk2	1	0	1	0	0	0	0
Foxs1	47	14	34	35	43	65	31
Ttll9	1	0	0	0	1	0	0
Pdrg1	298	118	270	248	266	223	142
Ccm2l	15	5	18	11	9	9	10
Hck	47	6	28	10	20	35	13
Tm9sf4	137	48	111	117	108	97	49
Tspyl3	11	3	7	9	13	7	4
Plagl2	26	9	12	17	23	26	7
Pofut1	72	34	72	68	81	72	34
Kif3b	58	25	50	50	61	37	25
2500004C02Rik	10	4	8	8	14	9	6
Asxl1	84	66	64	112	94	83	30
Nol4l	65	15	65	36	70	92	37
Gm14472	3	1	2	4	7	4	4
Commd7	107	47	79	134	87	84	50
Dnmt3b	13	7	6	16	8	10	7
Dnmt3c	0	0	0	1	1	0	0
Mapre1	323	176	290	343	361	289	161
Efcab8	1	0	0	1	0	0	0
Gm14494	31	17	42	48	24	39	27
Sun5	1	0	0	0	0	1	0
Bpifb2	0	0	0	0	1	0	0
Bpifb6	5	1	9	1	60	50	31
Bpifb3	0	0	0	0	0	1	0
Bpifb4	21	218	25	506	10	5	4
Bpifa6	0	0	0	0	0	0	0
Bpifa2	1	1	3	2	1	1	2
Bpifa3	0	1	0	0	0	0	0
Bpifb1	1	6	1	25	1	3	1
Bpifb5	88	303	50	762	8	15	3
Bpifb9a	0	0	0	1	1	0	0
Bpifb9b	0	0	0	0	0	0	0
Cdk5rap1	15	20	37	19	33	22	21
Snta1	39	11	26	28	23	16	4
Cbfa2t2	56	14	41	53	29	31	18
Necab3	6	2	5	3	4	5	6
1700003F12Rik	1	1	2	0	0	3	0
E2f1	45	25	35	55	20	16	18
Pxmp4	111	43	118	108	111	96	68
Zfp341	17	4	10	7	6	4	7
Gm14198	0	0	0	0	0	0	0
Chmp4b	333	190	286	285	200	182	106
Rpl5-ps2	49	54	40	84	154	130	107
Gm14216	0	0	1	0	0	1	1
Gm14214	1	1	0	0	0	0	0
Raly	160	96	150	202	103	107	69
a	1	0	0	0	0	1	0
Eif2s2	880	504	745	786	911	891	437
Gm14226	13	17	10	41	17	19	12
Ahcy	172	70	162	217	135	165	61
Gm45609	0	0	0	1	1	1	0
Itch	128	77	92	166	142	116	62
Gm14227	1	1	1	3	2	3	2
Dynlrb1	1146	453	893	852	775	766	477
Map1lc3a	766	214	507	404	817	774	566
Pigu	137	57	115	121	121	134	69
Trp53inp2	245	51	202	105	385	327	176
Ncoa6	63	23	41	63	39	33	27
Gm14239	0	1	1	1	2	2	1
Gm14238	0	0	1	0	0	1	0
Ggt7	17	1	14	8	13	11	8
Acss2	59	5	67	20	37	54	29
Gm20637	0	0	0	0	1	1	0
Gss	67	10	71	24	90	81	42
Myh7b	2	1	5	2	1	1	1
Trpc4ap	144	50	101	124	109	100	70
Gm22334	0	0	1	3	1	1	0
Edem2	188	58	169	147	123	132	69
Procr	279	20	277	39	132	126	64
Mmp24	3	0	2	3	1	0	0
BC029722	196	65	215	150	139	121	86
Eif6	332	142	302	288	283	290	122
Gm16098	3	0	0	0	1	0	0
Fam83c	0	0	1	1	0	0	0
Uqcc1	90	38	81	102	107	90	39
Gdf5	1	0	0	0	0	0	1
Cep250	44	24	37	60	35	44	15
6430550D23Rik	7	3	3	6	3	4	2
Ergic3	569	360	529	673	564	474	326
Fer1l4	0	0	1	1	7	7	5
Spag4	5	1	4	9	5	5	4
Cpne1	0	1	1	2	0	0	0
Gm37274	14	7	11	15	25	13	8
Rbm12	33	12	27	33	22	25	6
Nfs1	137	54	142	126	148	112	86
Romo1	851	452	778	724	720	671	594
Rbm39	744	389	593	926	706	637	424
Phf20	88	75	78	128	71	77	46
Scand1	52	29	49	49	56	46	33
Cnbd2	15	9	9	15	7	8	6
Gm14251	0	1	1	1	0	0	1
Gm14253	8	1	3	2	1	6	1
Rpl21-ps9	0	0	0	0	0	0	0
2900097C17Rik	277	104	263	243	198	179	103
Gm14173	2	1	0	1	0	1	1
Epb41l1	169	24	144	47	112	132	62
Gm14224	0	0	1	0	0	0	0
Aar2	37	17	45	55	42	42	20
Gm14168	0	0	1	2	3	0	0
Dlgap4	128	58	95	115	78	101	53
Gm14172	1	0	1	2	1	0	0
4930405A21Rik	14	2	6	10	6	9	3
Myl9	434	275	530	686	554	625	381
Gm14231	4	2	0	1	1	2	1
Gm14230	3	1	1	4	2	1	0
Tgif2	21	17	23	42	26	24	10
5430405H02Rik	27	24	41	54	43	34	11
Gm37790	1	0	2	3	1	2	0
4930518I15Rik	8	3	3	7	10	5	5
Gm27651	5	1	3	9	9	3	2
1110008F13Rik	258	111	211	185	278	280	111
Sla2	1	0	0	3	3	8	3
Gm14248	1	0	1	1	0	1	3
Ndrg3	127	65	85	121	104	94	42
Gm14276	1	1	4	4	3	8	2
Dsn1	19	6	8	32	11	13	5
Soga1	22	9	25	27	14	21	11
Tldc2	0	0	0	0	0	0	0
Samhd1	138	75	93	155	116	112	61
Rbl1	20	11	19	30	20	20	6
Gm14277	28	21	20	40	49	46	37
Mroh8	1	1	1	2	1	0	0
Rpn2	582	284	508	587	549	555	348
Ghrh	0	1	0	0	0	0	0
Manbal	154	97	140	192	145	157	93
Src	50	19	48	56	51	42	15
Gm14279	36	28	27	40	39	28	31
Gm14287	2	1	0	1	0	0	0
Gm14286	4	1	2	5	3	1	2
Blcap	91	53	73	106	61	55	29
N0t	126	144	101	434	90	77	50
Gm23134	0	0	0	0	0	0	0
Platr27	0	1	0	2	0	1	1
Ctnnbl1	97	31	80	111	75	70	59
Gm14176	25	14	26	26	21	8	12
Tti1	26	18	32	34	32	26	14
Rprd1b	56	33	53	56	46	42	25
2010009K17Rik	0	0	1	3	1	4	0
Tgm2	268	116	252	236	195	219	82
Gm20412	2	3	2	2	2	4	1
D630003M21Rik	2	5	4	7	2	6	1
Lbp	119	67	94	167	33	32	17
Snhg17	56	27	42	83	27	27	15
Snhg11	27	15	32	60	44	34	10
Ralgapb	63	32	62	81	70	54	25
Gm14200	5	1	6	5	5	3	3
Gm24379	0	0	0	2	0	0	0
Adig	7	3	1	12	3	2	1
Arhgap40	0	0	0	0	0	0	1
Actr5	21	9	15	29	16	13	9
Ppp1r16b	19	14	15	43	34	23	16
Fam83d	19	13	25	37	15	16	11
Dhx35	20	15	20	29	22	8	10
Gm826	0	1	0	2	0	1	0
Mafb	57	34	30	89	31	24	19
Gm14221	5	1	1	1	5	3	4
Top1	431	208	346	497	460	401	266
Plcg1	87	60	89	117	79	65	51
Gm27206	0	0	0	1	1	1	0
Zhx3	87	40	66	110	80	69	41
Gm16751	0	0	0	2	1	1	0
Lpin3	60	8	40	22	38	34	28
Emilin3	1	0	0	0	0	0	0
Chd6	143	101	112	219	130	134	66
Gm45447	1	1	1	7	1	1	1
Gm11448	1	0	1	3	1	1	0
Gm11449	5	2	3	3	2	2	3
Ptprt	1	1	0	17	1	1	0
9430021M05Rik	2	2	1	0	2	0	1
Gm11450	1	0	2	0	4	1	5
Gm11451	13	5	12	13	17	19	15
Srsf6	379	158	293	395	292	242	141
L3mbtl1	0	0	0	1	1	0	0
Gm11453	0	0	1	1	0	0	0
Ift52	98	55	83	121	99	109	58
Mybl2	11	7	9	13	9	8	7
Gm11454	0	0	1	1	0	0	0
Tox2	31	21	22	70	19	19	12
Jph2	27	5	32	22	16	23	7
Oser1	93	44	63	126	63	53	30
2900093K20Rik	20	9	20	20	16	9	7
Gdap1l1	1	0	0	0	0	0	0
Fitm2	41	21	32	39	30	13	12
2310001K24Rik	0	0	0	2	1	1	0
R3hdml	4	3	1	7	3	1	0
Hnf4aos	2	1	1	2	2	1	0
Hnf4a	1	0	1	1	1	0	0
Ttpal	61	9	44	29	49	47	26
Serinc3	1810	1160	1598	2328	1476	1430	847
0610039K10Rik	2	2	2	10	0	3	0
Pkig	139	67	149	165	110	145	77
Gm16316	0	0	1	0	1	0	2
Ada	28	28	24	59	20	30	16
Wisp2	153	5	158	11	134	172	94
Kcnk15	0	0	2	0	0	1	0
Rims4	294	50	199	85	119	148	84
Ywhab	486	201	427	408	401	457	229
Pabpc1l	8	6	4	17	8	4	1
Tomm34	58	21	45	62	57	45	24
Stk4	73	38	52	64	42	48	30
Gm11455	0	0	0	0	2	0	0
Kcns1	1	0	0	0	1	0	0
Wfdc12	0	1	0	1	0	0	0
Wfdc15b	1	1	0	0	2	0	2
Svs3a	0	2	1	0	0	0	1
Svs6	10	13	5	42	1	1	0
Svs5	105	124	74	495	8	4	1
